sequence_index,intent_index,pos,deployment_time,prediction_target_pos,prediction_target_time,window_start_pos,window_start_time,num_nodes,num_edges,cost,budget,budget_ratio,u_track,u_elastic,total_utility,jaccard_intent,jaccard_persist,consensus_hits,deployed_score
0,1,4919,2025-07-24 23:00:00,4920,2025-07-25 00:00:00,4908,2025-07-24 12:00:00,17,15,19.999999999999993,20.0,0.9999999999999997,0.21454381210009862,0.8735057549697739,-0.45597521646506345,0.18518518518175583,0.2439024390184414,1,3.551626890897751
1,2,4920,2025-07-25 00:00:00,4921,2025-07-25 01:00:00,4909,2025-07-24 13:00:00,17,15,19.999999999999993,20.0,0.9999999999999997,0.25641025640442144,0.877387208723883,-0.4331012674358474,0.23076923076479292,0.28205128204405,1,3.3386044949293137
2,3,4921,2025-07-25 01:00:00,4922,2025-07-25 02:00:00,4910,2025-07-24 14:00:00,17,15,19.999999999999993,20.0,0.9999999999999997,0.1795366795324822,0.8540346565246025,-0.48321433197145736,0.14285714285459183,0.21621621621037254,2,2.6775179877877235
3,4,4922,2025-07-25 02:00:00,4923,2025-07-25 03:00:00,4911,2025-07-24 15:00:00,17,15,19.999999999999993,20.0,0.9999999999999997,0.04244482173079607,0.8816730340798864,-0.5379410720946585,0.032258064515608746,0.05263157894598339,2,2.680146999657154
4,5,4923,2025-07-25 03:00:00,4924,2025-07-25 04:00:00,4912,2025-07-24 16:00:00,17,15,19.999999999999993,20.0,0.9999999999999997,0.03993855606676129,0.8953460837451799,-0.5323576800940291,0.032258064515608746,0.047619047617913836,2,3.4421484768390656
5,6,4924,2025-07-25 04:00:00,4925,2025-07-25 05:00:00,4913,2025-07-24 17:00:00,17,15,19.999999999999993,20.0,0.9999999999999997,0.019841269840860418,0.847477983469302,-0.5663403733449184,0.01587301587276392,0.023809523808956918,0,4.625096097588539
6,7,4925,2025-07-25 05:00:00,4926,2025-07-25 06:00:00,4914,2025-07-24 18:00:00,17,15,19.999999999999993,20.0,0.9999999999999997,0.0,0.8735955671556553,-0.5632022164221719,0.0,0.0,0,4.877764359116554
7,8,4926,2025-07-25 06:00:00,4927,2025-07-25 07:00:00,4915,2025-07-24 19:00:00,17,15,19.999999999999993,20.0,0.9999999999999997,0.016129032257804373,0.8671130867429019,-0.5583789404996465,0.032258064515608746,0.0,2,3.4663756638765335
8,9,4927,2025-07-25 07:00:00,4928,2025-07-25 08:00:00,4916,2025-07-24 20:00:00,17,15,19.999999999999993,20.0,0.9999999999999997,0.04112903225717937,0.8619852757690246,-0.5484428459868977,0.032258064515608746,0.04999999999875,2,1.839197814464569
9,10,4928,2025-07-25 08:00:00,4929,2025-07-25 09:00:00,4917,2025-07-24 21:00:00,17,15,19.999999999999993,20.0,0.9999999999999997,0.05833333333215278,0.8647431985576389,-0.5384617340551039,0.06666666666555555,0.04999999999875,4,1.711026780307293
10,11,4929,2025-07-25 09:00:00,4930,2025-07-25 10:00:00,4918,2025-07-24 22:00:00,17,15,19.999999999999993,20.0,0.9999999999999997,0.05184331797081458,0.8823643458106669,-0.532896168109259,0.032258064515608746,0.07142857142602041,2,1.8627182394266129
11,12,4930,2025-07-25 10:00:00,4931,2025-07-25 11:00:00,4919,2025-07-24 23:00:00,17,15,19.999999999999993,20.0,0.9999999999999997,0.029642545770952655,0.8629117980567956,-0.5537228280861255,0.032258064515608746,0.027027027026296568,2,1.9561395943164825
12,13,4931,2025-07-25 11:00:00,4932,2025-07-25 12:00:00,4920,2025-07-25 00:00:00,17,15,19.999999999999993,20.0,0.9999999999999997,0.0,0.8634038157971607,-0.5682980921014193,0.0,0.0,0,2.064973324537277
13,14,4932,2025-07-25 12:00:00,4933,2025-07-25 13:00:00,4921,2025-07-25 01:00:00,17,15,19.999999999999993,20.0,0.9999999999999997,0.0,0.8677909032032659,-0.5661045483983667,0.0,0.0,0,2.0895285457372665
14,15,4933,2025-07-25 13:00:00,4934,2025-07-25 14:00:00,4922,2025-07-25 02:00:00,17,15,19.999999999999993,20.0,0.9999999999999997,0.0,0.8665784204441067,-0.5667107897779463,0.0,0.0,0,2.091373845934868
15,16,4934,2025-07-25 14:00:00,4935,2025-07-25 15:00:00,4923,2025-07-25 03:00:00,17,15,19.999999999999993,20.0,0.9999999999999997,0.0,0.8634958791992569,-0.5682520604003712,0.0,0.0,0,2.0892287269234657
