sequence_index,intent_index,pos,deployment_time,prediction_target_pos,prediction_target_time,window_start_pos,window_start_time,num_nodes,num_edges,cost,budget,budget_ratio,u_track,u_elastic,total_utility,jaccard_intent,jaccard_persist,consensus_hits,deployed_score
0,1,4919,2025-07-24 23:00:00,4920,2025-07-25 00:00:00,4908,2025-07-24 12:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.26723421926351487,0.9036348980627903,-0.41456544133684703,0.23214285713871174,0.30232558138831805,2,4.512207880616188
1,2,4920,2025-07-25 00:00:00,4921,2025-07-25 01:00:00,4909,2025-07-24 13:00:00,25,25,29.999999999999986,30.0,0.9999999999999996,0.35838870431146996,0.9149608478298352,-0.36332522392934696,0.32142857142283165,0.3953488372001082,3,4.762230582535267
2,3,4921,2025-07-25 01:00:00,4922,2025-07-25 02:00:00,4910,2025-07-24 14:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.1378469617376317,0.9054686772442071,-0.4783421805090803,0.1129032258046306,0.16279069767063278,2,3.3921764343976974
3,4,4922,2025-07-25 02:00:00,4923,2025-07-25 03:00:00,4911,2025-07-24 15:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.038181187087053134,0.8807703052748603,-0.5405242538190429,0.02985074626821118,0.04651162790589508,2,3.3223275616765022
4,5,4923,2025-07-25 03:00:00,4924,2025-07-25 04:00:00,4912,2025-07-24 16:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.036201968878333754,0.8883092833831554,-0.5377443738692551,0.02985074626821118,0.04255319148845632,2,4.346728429198265
5,6,4924,2025-07-25 04:00:00,4925,2025-07-25 05:00:00,4913,2025-07-24 17:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.017991239048476538,0.8968805683069775,-0.5425640963222726,0.014705882352724913,0.02127659574422816,0,5.931234538555145
6,7,4925,2025-07-25 05:00:00,4926,2025-07-25 06:00:00,4914,2025-07-24 18:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.0,0.9031936443167122,-0.5484031778416436,0.0,0.0,0,6.3947229236364365
7,8,4926,2025-07-25 06:00:00,4927,2025-07-25 07:00:00,4915,2025-07-24 19:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.01492537313410559,0.9117393720504451,-0.5366676274077243,0.02985074626821118,0.0,2,4.368163928389549
8,9,4927,2025-07-25 07:00:00,4928,2025-07-25 08:00:00,4916,2025-07-24 20:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.04494949494865677,0.8889177796175949,-0.5330663627168739,0.04545454545385675,0.04444444444345679,3,2.2300689592957497
9,10,4928,2025-07-25 08:00:00,4929,2025-07-25 09:00:00,4917,2025-07-24 21:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.05299145299048579,0.8921256016942738,-0.5274414726576199,0.06153846153751479,0.04444444444345679,4,2.0377414375543594
10,11,4929,2025-07-25 09:00:00,4930,2025-07-25 10:00:00,4918,2025-07-24 22:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.04522840343621762,0.8967319418728066,-0.5290198273454876,0.02985074626821118,0.06060606060422406,2,2.2344587594270706
11,12,4930,2025-07-25 10:00:00,4931,2025-07-25 11:00:00,4919,2025-07-24 23:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.02683013503858405,0.9113023453651568,-0.5309337597981293,0.02985074626821118,0.023809523808956918,2,2.341861553490162
12,13,4931,2025-07-25 11:00:00,4932,2025-07-25 12:00:00,4920,2025-07-25 00:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.0,0.9018648217371915,-0.5490675891314039,0.0,0.0,0,2.47954885661602
13,14,4932,2025-07-25 12:00:00,4933,2025-07-25 13:00:00,4921,2025-07-25 01:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.0,0.9062109732365959,-0.5468945133817017,0.0,0.0,0,2.5138202980160713
14,15,4933,2025-07-25 13:00:00,4934,2025-07-25 14:00:00,4922,2025-07-25 02:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.0,0.9127168484833694,-0.543641575758315,0.0,0.0,0,2.520605683326721
15,16,4934,2025-07-25 14:00:00,4935,2025-07-25 15:00:00,4923,2025-07-25 03:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.0,0.9074350640589242,-0.5462824679705376,0.0,0.0,0,2.5180267319083214
16,17,4935,2025-07-25 15:00:00,4936,2025-07-25 16:00:00,4924,2025-07-25 04:00:00,2,1,2.2,30.0,0.07333333333333333,0.02633311388998904,0.0,-0.06016677638833881,0.02040816326488963,0.03225806451508845,1,2.0049052809316555e-16
17,18,4936,2025-07-25 16:00:00,4937,2025-07-25 17:00:00,4925,2025-07-25 05:00:00,4,2,4.4,30.0,0.14666666666666667,0.02040816326488963,0.47770056407892214,0.10238769700523923,0.04081632652977926,0.0,2,0.0008191685483325273
18,19,4937,2025-07-25 17:00:00,4938,2025-07-25 18:00:00,4926,2025-07-25 06:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.01661220043545025,0.9009174865338438,-0.5412351565153526,0.014705882352724913,0.018518518518175583,0,2.755343772470951
19,20,4938,2025-07-25 18:00:00,4939,2025-07-25 19:00:00,4927,2025-07-25 07:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.1011904761887637,0.8979690763684515,-0.500420223721392,0.09523809523658353,0.10714285714094389,2,2.952897511422634
20,21,4939,2025-07-25 19:00:00,4940,2025-07-25 20:00:00,4928,2025-07-25 08:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.017557022808807273,0.8947236633682824,-0.5438596569114549,0.014705882352724913,0.02040816326488963,1,2.8871937692165375
21,22,4940,2025-07-25 20:00:00,4941,2025-07-25 21:00:00,4929,2025-07-25 09:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.032531194295363594,0.8993443119255694,-0.5340622468895332,0.04545454545385675,0.019607843136870435,0,2.9551697075366974
22,23,4941,2025-07-25 21:00:00,4942,2025-07-25 22:00:00,4930,2025-07-25 10:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.05854700854602077,0.895479876952022,-0.5229865572509782,0.06153846153751479,0.05555555555452675,0,3.2613019943237305
23,24,4942,2025-07-25 22:00:00,4943,2025-07-25 23:00:00,4931,2025-07-25 11:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.0444664031612384,0.8995952599303676,-0.5279691684541967,0.04545454545385675,0.04347826086862004,1,3.3269265443086624
24,25,4943,2025-07-25 23:00:00,4944,2025-07-26 00:00:00,4932,2025-07-25 12:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.06850507982464918,0.9109004362006463,-0.5102972419873519,0.06153846153751479,0.07547169811178356,1,3.5815204977989197
25,26,4944,2025-07-26 00:00:00,4945,2025-07-26 01:00:00,4933,2025-07-25 13:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.15639534883406642,0.9175204243719822,-0.4630421133969753,0.14999999999750002,0.16279069767063278,3,3.9240760654211044
26,27,4945,2025-07-26 01:00:00,4946,2025-07-26 02:00:00,4934,2025-07-25 14:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.05681818181706268,0.9195925135272043,-0.5117946523278663,0.04545454545385675,0.0681818181802686,1,3.1459072455763817
27,28,4946,2025-07-26 02:00:00,4947,2025-07-26 03:00:00,4935,2025-07-25 15:00:00,25,25,29.999999999999986,30.0,0.9999999999999996,0.31957735246559915,0.9233837275323973,-0.37851946000100134,0.29824561402985533,0.340909090901343,4,5.441182032227516
28,29,4947,2025-07-26 03:00:00,4948,2025-07-26 04:00:00,4936,2025-07-25 16:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.051029159518847206,0.8962748714459188,-0.5263479845176167,0.04545454545385675,0.05660377358383767,1,3.724534310400486
29,30,4948,2025-07-26 04:00:00,4949,2025-07-26 05:00:00,4937,2025-07-25 17:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.04598308667987591,0.8944600381654855,-0.5297784375773189,0.04545454545385675,0.04651162790589508,1,4.814163252711296
30,31,4949,2025-07-26 05:00:00,4950,2025-07-26 06:00:00,4938,2025-07-25 18:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.0,0.8979957347559948,-0.5510021326220023,0.0,0.0,0,5.7778400629758835
31,32,4950,2025-07-26 06:00:00,4951,2025-07-26 07:00:00,4939,2025-07-25 19:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.007352941176362457,0.8900706548560683,-0.5512882019837844,0.014705882352724913,0.0,1,6.019444301724434
32,33,4951,2025-07-26 07:00:00,4952,2025-07-26 08:00:00,4940,2025-07-25 20:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.025342039800555244,0.9036542490386534,-0.5355018555803953,0.02985074626821118,0.020833333332899308,2,5.168047696352005
33,34,4952,2025-07-26 08:00:00,4953,2025-07-26 09:00:00,4941,2025-07-25 21:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.03344389165228118,0.8924115602019944,-0.5370722740728618,0.02985074626821118,0.03703703703635117,2,3.4528716653585434
34,35,4953,2025-07-26 09:00:00,4954,2025-07-26 10:00:00,4942,2025-07-25 22:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.022727272726928375,0.9008782491095451,-0.5381972390817629,0.04545454545385675,0.0,3,2.399166487157345
35,36,4954,2025-07-26 10:00:00,4955,2025-07-26 11:00:00,4943,2025-07-25 23:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.03931561703594973,0.9094675754089894,-0.5256084037775302,0.02985074626821118,0.04878048780368829,2,2.3105349466204643
36,37,4955,2025-07-26 11:00:00,4956,2025-07-26 12:00:00,4944,2025-07-26 00:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.018716577539740556,0.9000196778661579,-0.5406318722970505,0.014705882352724913,0.0227272727267562,1,2.301751986145973
37,38,4956,2025-07-26 12:00:00,4957,2025-07-26 13:00:00,4945,2025-07-26 01:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.0,0.90334021170179,-0.5483298941491046,0.0,0.0,0,2.394774444401264
38,39,4957,2025-07-26 13:00:00,4958,2025-07-26 14:00:00,4946,2025-07-26 02:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.0,0.9057185010943838,-0.5471407494528078,0.0,0.0,0,2.448488801717758
39,40,4958,2025-07-26 14:00:00,4959,2025-07-26 15:00:00,4947,2025-07-26 03:00:00,0,0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
40,41,4959,2025-07-26 15:00:00,4960,2025-07-26 16:00:00,4948,2025-07-26 04:00:00,2,1,2.2,30.0,0.07333333333333333,0.010204081632444816,0.0,-0.06823129251711092,0.02040816326488963,0.0,1,0.00025288050528615713
41,42,4960,2025-07-26 16:00:00,4961,2025-07-26 17:00:00,4949,2025-07-26 05:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.14104546860251188,0.9054124177889886,-0.47677105680424947,0.13114754098145662,0.15094339622356712,0,3.172833502292633
42,43,4961,2025-07-26 17:00:00,4962,2025-07-26 18:00:00,4950,2025-07-26 06:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.06406249999876465,0.8942672120869981,-0.5208351439571183,0.0781249999987793,0.04999999999875,4,2.9343540370464325
43,44,4962,2025-07-26 18:00:00,4963,2025-07-26 19:00:00,4951,2025-07-26 07:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.20669698221964874,0.9085738429461587,-0.44236458741709594,0.16949152542085608,0.2439024390184414,3,3.075204312801361
44,45,4963,2025-07-26 19:00:00,4964,2025-07-26 20:00:00,4952,2025-07-26 08:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.10531135530948998,0.8989584061608115,-0.497865119264849,0.09523809523658353,0.11538461538239646,0,3.0623155161738396
45,46,4964,2025-07-26 20:00:00,4965,2025-07-26 21:00:00,4953,2025-07-26 09:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.0331071913155932,0.9034087753896098,-0.5317420166473982,0.02985074626821118,0.03636363636297521,0,3.080943174660206
46,47,4965,2025-07-26 21:00:00,4966,2025-07-26 22:00:00,4954,2025-07-26 10:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.08713942307538816,0.914018243687918,-0.49942116661834657,0.0781249999987793,0.09615384615199704,0,3.3263907954096794
47,48,4966,2025-07-26 22:00:00,4967,2025-07-26 23:00:00,4955,2025-07-26 11:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.20121056492640238,0.892354618657887,-0.45321740820785494,0.1896551724105232,0.21276595744228158,2,4.175746977329254
48,49,4967,2025-07-26 23:00:00,4968,2025-07-27 00:00:00,4956,2025-07-26 12:00:00,25,25,29.999999999999986,30.0,0.9999999999999996,0.21442125236804885,0.9005459998341079,-0.4425163738989212,0.19354838709365246,0.23529411764244523,2,4.966935522854328
49,50,4968,2025-07-27 00:00:00,4969,2025-07-27 01:00:00,4957,2025-07-26 13:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.17298105682634501,0.9119991931677724,-0.45750987500294094,0.16949152542085608,0.17647058823183392,4,3.806920863687992
50,51,4969,2025-07-27 01:00:00,4970,2025-07-27 02:00:00,4958,2025-07-26 14:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.2556063122870411,0.9157256119910866,-0.4143340378609358,0.23214285713871174,0.2790697674353705,3,4.0133406072855
51,52,4970,2025-07-27 02:00:00,4971,2025-07-27 03:00:00,4959,2025-07-26 15:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.16499999999695003,0.9009241872545687,-0.46703790637424036,0.14999999999750002,0.1799999999964,3,3.778607301414013
52,53,4971,2025-07-27 03:00:00,4972,2025-07-27 04:00:00,4960,2025-07-26 16:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.1374999999971875,0.8971555418302437,-0.48267222908628404,0.14999999999750002,0.12499999999687501,1,3.890269912779331
53,54,4972,2025-07-27 04:00:00,4973,2025-07-27 05:00:00,4961,2025-07-26 17:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.11580086579856036,0.908018553431911,-0.48809029038476404,0.09523809523658353,0.1363636363605372,0,4.486053302884102
54,55,4973,2025-07-27 05:00:00,4974,2025-07-27 06:00:00,4962,2025-07-26 18:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.007352941176362457,0.8971960464939018,-0.5477255061648676,0.014705882352724913,0.0,1,5.380043849349022
55,56,4974,2025-07-27 06:00:00,4975,2025-07-27 07:00:00,4963,2025-07-26 19:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.018716577539740556,0.8842590334333563,-0.5485121945134512,0.014705882352724913,0.0227272727267562,0,5.890765428543091
56,57,4975,2025-07-27 07:00:00,4976,2025-07-27 08:00:00,4964,2025-07-26 20:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.0,0.8932663247736835,-0.553366837613158,0.0,0.0,0,5.9063562750816345
57,58,4976,2025-07-27 08:00:00,4977,2025-07-27 09:00:00,4965,2025-07-26 21:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.0,0.9051555275655543,-0.5474222362172225,0.0,0.0,0,5.227017879486084
58,59,4977,2025-07-27 09:00:00,4978,2025-07-27 10:00:00,4966,2025-07-26 22:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.01492537313410559,0.897409911238697,-0.5438323578135984,0.02985074626821118,0.0,2,3.8188584446907043
59,60,4978,2025-07-27 10:00:00,4979,2025-07-27 11:00:00,4967,2025-07-26 23:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.044658119657260485,0.9120730488913086,-0.5216344157257151,0.06153846153751479,0.027777777777006175,4,2.5118765756487846
60,61,4979,2025-07-27 11:00:00,4980,2025-07-27 12:00:00,4968,2025-07-27 00:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.02881426202260868,0.912804313613848,-0.5291907121817714,0.02985074626821118,0.027777777777006175,2,2.3156141191720963
61,62,4980,2025-07-27 12:00:00,4981,2025-07-27 13:00:00,4969,2025-07-27 01:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.0,0.9062123176812482,-0.5468938411593756,0.0,0.0,0,2.3253556340932846
62,63,4981,2025-07-27 13:00:00,4982,2025-07-27 14:00:00,4970,2025-07-27 02:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.0,0.8910503966709833,-0.554474801664508,0.0,0.0,0,2.35463834553957
63,64,4982,2025-07-27 14:00:00,4983,2025-07-27 15:00:00,4971,2025-07-27 03:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.0,0.9076307606008125,-0.5461846196995934,0.0,0.0,0,2.407786652445793
64,65,4983,2025-07-27 15:00:00,4984,2025-07-27 16:00:00,4972,2025-07-27 04:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.0,0.901747639099743,-0.5491261804501282,0.0,0.0,0,2.439702697098255
65,66,4984,2025-07-27 16:00:00,4985,2025-07-27 17:00:00,4973,2025-07-27 05:00:00,5,3,5.6000000000000005,30.0,0.18666666666666668,0.07008592910682199,0.0,-0.15162370211325568,0.06122448979466889,0.07894736841897508,3,6.068513354047338e-12
66,67,4985,2025-07-27 17:00:00,4986,2025-07-27 18:00:00,4974,2025-07-27 06:00:00,4,2,4.4,30.0,0.14666666666666667,0.036537195522433855,0.3851366261838231,0.0641702441864618,0.04081632652977926,0.03225806451508845,2,0.12551604583859444
67,68,4986,2025-07-27 18:00:00,4987,2025-07-27 19:00:00,4975,2025-07-27 07:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.18474576270792803,0.9070467583438964,-0.45410373947408744,0.16949152542085608,0.199999999995,3,3.1448553949594498
68,69,4987,2025-07-27 19:00:00,4988,2025-07-27 20:00:00,4976,2025-07-27 08:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.20974576270730305,0.9053217697825445,-0.4424662337550759,0.16949152542085608,0.24999999999375003,3,3.7420636638998985
69,70,4988,2025-07-27 20:00:00,4989,2025-07-27 21:00:00,4977,2025-07-27 09:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.20941091953620777,0.9089026697027591,-0.44084320538051625,0.1896551724105232,0.22916666666189237,1,3.539418861269951
70,71,4989,2025-07-27 21:00:00,4990,2025-07-27 22:00:00,4978,2025-07-27 10:00:00,25,25,29.999999999999986,30.0,0.9999999999999996,0.3538961038888435,0.9192056751214432,-0.3634491104948562,0.32142857142283165,0.3863636363548554,1,4.734282404184341
71,72,4990,2025-07-27 22:00:00,4991,2025-07-27 23:00:00,4979,2025-07-27 11:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.21164613661403092,0.8814769592047748,-0.45343845209059686,0.21052631578578027,0.21276595744228158,0,4.380717910826206
72,73,4991,2025-07-27 23:00:00,4992,2025-07-28 00:00:00,4980,2025-07-27 12:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.2820346320286332,0.9003593216553126,-0.40880302315802675,0.25454545454082644,0.30952380951643993,0,4.237546548247337
73,74,4992,2025-07-28 00:00:00,4993,2025-07-28 01:00:00,4981,2025-07-27 13:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.31761006288626553,0.9027735071631187,-0.3898082149753076,0.30188679244713423,0.33333333332539683,3,4.355335623025894
74,75,4993,2025-07-28 01:00:00,4994,2025-07-28 02:00:00,4982,2025-07-27 14:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.2556063122870411,0.8954085139296046,-0.4244925868916768,0.23214285713871174,0.2790697674353705,3,4.427711114287376
75,76,4994,2025-07-28 02:00:00,4995,2025-07-28 03:00:00,4983,2025-07-27 15:00:00,25,25,29.999999999999986,30.0,0.9999999999999996,0.43799019606869755,0.9180664656338934,-0.3219716691487041,0.45098039214802005,0.42499999998937504,1,5.959572196006775
76,77,4995,2025-07-28 03:00:00,4996,2025-07-28 04:00:00,4984,2025-07-27 16:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.16637841576998658,0.8991099783960721,-0.46725580291697033,0.16949152542085608,0.16326530611911705,1,4.552304729819298
77,78,4996,2025-07-28 04:00:00,4997,2025-07-28 05:00:00,4985,2025-07-27 17:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.007352941176362457,0.9025463560134186,-0.5450503514051092,0.014705882352724913,0.0,1,5.9886986911296844
78,79,4997,2025-07-28 05:00:00,4998,2025-07-28 06:00:00,4986,2025-07-27 18:00:00,26,20,29.99999999999999,30.0,0.9999999999999997,0.0,0.9155741560956233,-0.5422129219521881,0.0,0.0,0,6.660401001572609
